ctrhp_1	ctrhp_2	ctrhp_3	CLKhp_1	CLKhp_2	CLKhp_3
chr1_3219177_3219705	21	21	35	36	23	22
chr1_3348169_3348612	12	18	33	27	17	24
chr1_3352379_3353231	29	38	36	42	37	35
chr1_3624366_3625148	76	63	74	62	42	63
chr1_3796036_3796851	35	40	50	51	41	43
chr1_3856606_3857789	55	58	78	78	48	78
chr1_3899496_3901728	169	186	194	184	154	198
chr1_5191459_5191980	18	22	26	22	19	24
chr1_5745204_5745584	15	17	15	18	16	18
chr1_5896694_5897517	33	34	49	42	37	42
chr1_5991925_5993223	89	91	112	112	89	135
chr1_6058644_6058935	14	17	20	16	9	21
chr1_6080497_6080864	20	10	20	25	16	18
chr1_6082563_6083063	22	16	25	28	19	24
chr1_6198976_6200104	68	65	72	96	45	69
chr1_6208778_6208962	8	9	13	11	4	10
chr1_6235308_6236246	33	34	47	34	36	35
chr1_6245047_6245507	16	17	15	14	18	20
chr1_6260305_6261531	37	33	46	39	28	56
chr1_6287371_6287846	13	21	24	21	13	21
chr1_6330318_6331045	34	42	53	49	48	63
chr1_6335810_6336361	14	15	14	25	18	17
chr1_6358842_6359373	13	14	27	20	17	21
chr1_6384863_6385391	24	26	29	25	24	29
chr1_6392993_6394206	58	60	83	86	57	66
chr1_6436978_6437689	36	43	59	57	53	40
chr1_6448497_6449003	19	13	18	15	21	12
chr1_6519735_6520496	35	27	45	37	32	49
chr1_6554222_6554736	22	19	19	32	15	31
chr1_6579647_6580177	33	40	39	46	39	57
chr1_6587063_6587572	31	15	23	18	23	22
chr1_6601704_6603820	73	76	125	87	73	101
chr1_6612753_6614084	84	105	131	105	103	135
chr1_6624840_6625721	27	36	41	41	28	33
chr1_6653625_6653926	7	12	15	14	20	12
chr1_6701393_6702236	28	40	39	37	27	35
chr1_6784242_6785706	132	129	198	161	141	178
chr1_6785951_6786412	20	13	23	26	13	26
chr1_6922547_6922995	20	22	31	23	17	24
chr1_6984972_6985429	19	23	26	24	31	34
chr1_7117607_7118038	15	16	18	12	17	23
chr1_7471798_7472293	23	25	24	23	20	25
chr1_7491438_7492004	23	27	29	27	21	36
chr1_7667564_7668165	19	21	30	24	21	21
chr1_7668492_7669219	54	44	71	55	55	65
chr1_7679989_7680814	35	24	47	43	27	55
chr1_7704431_7704966	46	39	64	51	49	48
chr1_7783793_7784503	33	41	60	48	47	58
chr1_7961056_7962036	58	82	104	84	90	111
chr1_8025542_8026907	80	90	94	82	71	88
chr1_8408029_8408662	15	22	27	25	22	27
chr1_8423485_8424003	19	24	29	22	16	24
chr1_8438962_8439402	13	20	13	23	21	15
chr1_8525775_8526279	48	47	46	43	37	43
chr1_8702808_8703932	68	72	74	70	64	84
chr1_8706974_8707411	20	17	29	18	16	25
chr1_8817049_8818345	79	81	86	88	75	66
chr1_8848655_8849191	18	25	40	32	32	32
chr1_8878480_8879456	54	46	62	62	54	73
chr1_8889970_8890561	15	19	32	28	29	22
chr1_8986154_8986535	15	8	23	23	13	13
chr1_9234439_9235376	35	28	54	37	24	35
chr1_9428657_9429282	39	50	54	50	32	55
chr1_9538970_9540201	70	50	77	74	60	85
chr1_9588254_9589497	52	56	77	61	55	63
chr1_9593406_9594261	19	35	33	32	31	30
chr1_9651664_9652341	18	26	19	30	26	36
chr1_9823410_9824565	38	28	55	36	32	45
chr1_9835673_9837208	50	63	69	59	62	63
chr1_9842857_9843217	5	13	15	15	13	15
chr1_9859203_9859740	19	17	36	13	29	17
chr1_9909702_9910904	101	97	132	125	113	129
chr1_9942963_9943551	19	25	28	22	18	23
chr1_10032285_10033452	81	81	102	97	86	95
chr1_10209755_10211535	91	93	140	119	95	126
chr1_10398426_10399646	106	97	136	126	107	130
chr1_10430035_10431092	39	43	49	44	39	41
chr1_10472090_10472735	30	36	36	43	24	31
chr1_10474759_10475237	18	19	28	26	26	27
chr1_10694148_10695286	38	37	53	42	43	39
chr1_10788642_10788957	13	15	21	19	14	17
chr1_10979326_10979884	19	15	26	22	19	26
chr1_10980049_10980599	30	29	43	29	34	42
chr1_11012229_11013222	54	48	61	49	45	56
chr1_11059514_11060513	57	53	87	64	47	83
chr1_11099359_11099964	24	19	20	29	17	24
chr1_11262139_11263056	75	68	87	76	64	80
chr1_11273113_11273584	19	24	40	25	17	19
chr1_11321986_11322409	19	16	13	17	20	21
chr1_11354968_11356179	64	69	93	69	55	64
chr1_11458785_11459262	17	12	15	21	18	22
chr1_11474707_11475351	29	15	19	33	19	35
chr1_11478163_11479849	89	101	138	96	81	100
chr1_11499609_11500449	52	62	56	71	52	75
chr1_11680683_11681622	39	34	49	55	37	66
chr1_11691117_11692023	30	32	41	47	44	46
chr1_11701367_11702202	50	58	87	72	62	79
chr1_11731871_11732114	13	10	17	11	13	15
chr1_11735790_11736274	21	16	21	16	21	22
chr1_11805519_11806460	52	56	72	72	58	62
chr1_11907735_11909291	104	76	128	94	92	74
chr1_11934441_11934946	19	15	32	29	28	27
chr1_11979897_11980779	44	53	90	57	61	56
chr1_12018924_12019729	48	46	79	64	58	62
chr1_12339679_12340212	13	29	29	24	26	31
chr1_12447586_12448354	18	31	32	34	22	31
chr1_12477854_12479017	82	90	99	123	85	119
chr1_12540093_12540852	31	20	39	24	22	26
chr1_12617915_12618904	39	56	49	49	49	64
chr1_13543718_13544257	21	24	29	33	28	34
chr1_13585597_13586430	20	36	30	40	40	47
chr1_13700074_13700658	20	23	30	28	16	25
chr1_13748904_13750065	55	60	80	80	71	90
chr1_14067701_14068074	14	12	26	16	13	13
chr1_14140826_14141205	19	22	20	25	16	22
chr1_14184235_14184800	12	14	22	22	14	14
chr1_14598573_14598894	18	13	24	16	15	20
chr1_14744877_14745988	64	68	80	83	57	80
chr1_14755521_14756133	20	24	31	37	25	26
chr1_14815392_14815900	21	16	21	25	22	25
chr1_14894811_14895501	29	31	59	33	45	37
chr1_15153410_15154125	30	25	35	40	30	40
chr1_15206729_15207289	26	19	39	17	21	30
chr1_15370747_15371257	20	18	23	15	23	15
chr1_15384174_15384876	38	42	45	44	45	33
chr1_15386139_15386752	28	21	37	37	39	39
chr1_15409237_15410244	36	37	41	40	33	53
chr1_15523789_15524921	46	39	46	49	34	40
chr1_15524989_15525508	25	35	19	17	22	24
chr1_15526158_15527366	75	98	100	92	68	73
chr1_15603227_15603860	25	33	38	40	26	30
chr1_15617068_15618072	54	49	64	66	44	60
chr1_15833903_15836693	130	163	183	181	118	178
chr1_15847001_15848983	120	129	150	152	97	134
chr1_15886093_15886807	33	44	58	58	34	37
chr1_15975464_15976258	23	35	30	26	27	33
chr1_16174805_16175230	16	11	22	14	18	23
chr1_16206561_16207156	18	29	25	20	26	34
chr1_16236851_16237425	13	34	36	34	19	38
chr1_16248455_16249149	50	66	56	53	62	73
chr1_16351946_16352894	33	51	66	55	39	63
chr1_16366872_16368236	98	82	99	86	72	85
chr1_16440310_16440820	25	17	25	26	19	22
chr1_16498568_16499886	57	50	95	85	68	73
chr1_16515502_16515910	17	11	22	19	15	16
chr1_16515998_16516326	18	14	15	14	15	10
chr1_16540505_16541108	38	49	36	60	47	68
chr1_16565364_16567424	90	79	123	123	94	98
chr1_16607445_16607959	19	27	17	28	11	18
chr1_16608159_16608885	25	19	30	32	26	22
chr1_16609635_16610986	43	59	76	58	52	52
chr1_16611389_16618045	326	369	412	413	334	367
chr1_16618721_16619397	18	28	32	37	25	26
chr1_16619682_16620463	28	24	33	36	29	27
chr1_16620670_16621547	30	32	30	33	28	29
chr1_16621567_16624815	98	97	143	125	108	97
chr1_16625474_16626072	21	20	24	21	16	27
chr1_16629982_16630536	17	15	25	26	12	24
chr1_16642973_16645906	115	122	180	129	130	156
chr1_16646874_16647914	29	27	49	38	24	34
chr1_16665867_16667623	136	161	201	173	134	172
chr1_16674854_16675406	21	27	35	34	26	26
chr1_16693187_16694238	20	21	35	40	28	33
chr1_16709385_16710162	26	33	40	41	22	32
chr1_16710261_16711630	146	144	193	167	125	165
chr1_16711710_16713149	48	74	79	67	65	65
chr1_16732326_16732698	17	20	27	22	17	31
chr1_16739840_16741495	155	153	179	158	132	162
chr1_16866736_16867437	37	40	46	47	38	60
chr1_16872777_16873405	18	20	24	22	19	16
chr1_16895054_16897498	197	208	215	193	132	191
chr1_16899151_16899640	21	15	17	18	15	14
chr1_16903829_16905955	154	168	183	167	140	158
chr1_16911760_16912780	24	45	46	31	23	36
chr1_16913281_16914886	133	126	165	168	122	157
chr1_16925635_16927570	66	82	104	101	95	113
chr1_17011382_17012229	29	25	28	33	30	40
chr1_17053741_17054555	36	46	88	48	43	57
chr1_17437158_17439013	61	63	72	65	41	70
chr1_17439573_17440256	29	29	36	29	43	27
chr1_17531566_17532115	19	13	27	24	19	24
chr1_17546975_17547621	22	27	20	24	19	32
chr1_17829556_17830181	29	25	39	34	32	31
chr1_17923601_17924078	19	19	21	25	29	29
chr1_18902292_18903296	64	64	84	61	69	61
chr1_18907004_18907543	19	22	32	29	29	30
chr1_18955835_18957254	68	59	85	80	80	73
chr1_19209834_19210736	30	36	54	57	37	47
chr1_19251288_19251975	38	35	58	46	39	44
chr1_19311627_19312930	50	45	77	60	62	79
chr1_19405551_19406451	47	54	68	56	50	55
chr1_19485416_19486187	42	50	68	50	55	61
chr1_19596803_19597147	19	15	19	27	10	22
chr1_19882099_19883061	61	58	80	61	62	68
chr1_20233838_20234279	26	28	30	27	19	34
chr1_20325820_20326578	14	20	22	30	16	31
chr1_20369119_20369442	17	13	16	15	16	14
chr1_20385668_20386008	15	13	16	19	14	16
chr1_20386761_20387014	10	8	15	16	13	11
chr1_20485290_20485899	22	18	24	14	17	21
chr1_20508014_20508503	18	17	25	18	21	21
chr1_20633424_20633950	17	18	27	21	24	27
chr1_20661227_20661935	70	67	100	65	85	89
chr1_20696490_20697136	30	21	31	27	29	39
chr1_20732106_20732568	23	16	29	23	23	36
chr1_20785975_20787872	124	119	163	122	94	124
chr1_21176011_21177455	80	73	95	85	82	76
chr1_21254221_21254822	33	30	38	26	27	27
chr1_21344921_21345946	50	42	74	65	56	66
chr1_21439833_21440493	21	28	27	22	26	28
chr1_21620204_21620910	21	23	27	35	26	32
chr1_21624533_21625365	28	29	28	30	15	34
chr1_21663172_21663571	15	15	19	18	16	16
chr1_21782447_21783984	73	84	91	97	67	91
chr1_21937095_21937943	28	38	42	43	38	45
chr1_22025082_22025626	22	21	29	25	22	28
chr1_22052277_22052975	37	39	46	51	36	45
chr1_22207950_22208296	14	11	18	14	9	11
chr1_22451680_22452489	35	36	46	28	36	45
chr1_22710277_22711462	50	44	60	51	30	64
chr1_22773866_22774564	39	24	46	40	30	53
chr1_22778791_22779513	33	38	60	40	42	43
chr1_22806594_22807182	20	26	26	32	29	24
chr1_22830016_22830425	16	15	30	14	21	25
chr1_22841823_22842355	27	22	35	25	27	28
chr1_22916476_22916858	18	17	24	26	28	21
chr1_23019067_23020164	46	50	62	55	46	58
chr1_23177547_23178164	26	34	47	29	35	43
chr1_23344132_23344943	86	68	112	102	75	98
chr1_23367816_23370020	125	183	170	156	138	171
chr1_23394736_23395326	19	19	30	30	19	14
chr1_23403707_23404312	34	21	37	36	31	44
chr1_23484027_23484670	22	19	32	29	22	24
chr1_23554479_23555429	36	24	50	37	35	37
chr1_23559449_23559765	15	16	13	18	11	23
chr1_23562325_23562634	18	18	17	18	22	17
chr1_23691587_23691909	21	27	26	27	16	19
chr1_23743054_23743750	24	26	42	36	27	34
chr1_23778248_23778708	24	21	30	21	17	20
chr1_23790847_23791291	19	25	15	31	18	16
chr1_23800147_23801395	52	38	73	50	52	64
chr1_23867904_23868559	27	32	38	39	31	40
chr1_23959362_23960256	62	65	66	64	60	73
chr1_23979935_23980676	57	47	52	50	44	52
chr1_24018853_24019166	15	16	17	20	16	11
chr1_24289981_24290302	16	17	16	16	13	17
chr1_24415530_24415896	18	13	25	23	19	22
chr1_24642518_24643778	102	118	165	132	107	138
chr1_24744762_24745989	83	83	110	92	86	104
chr1_25198350_25199151	33	47	45	45	33	40
chr1_25232245_25232792	26	21	27	36	24	26
chr1_25246652_25248120	76	66	93	72	57	83
chr1_25267744_25268084	17	20	17	13	11	13
chr1_25337532_25339001	44	68	63	64	49	46
chr1_25429901_25431465	90	103	124	120	90	103
chr1_25616018_25618000	63	63	95	70	71	59
chr1_25819604_25820399	31	29	44	48	32	41
chr1_25895446_25895802	16	10	18	19	19	14
chr1_25905018_25907103	77	86	108	100	108	99
chr1_25997849_25998714	54	48	79	49	56	62
chr1_26035302_26035903	24	28	35	36	32	31
chr1_26110688_26112530	84	101	132	128	114	145
chr1_26169680_26170193	20	17	18	27	15	19
chr1_26233830_26235042	67	53	80	75	57	67
chr1_26279644_26280297	31	23	35	28	32	37
chr1_26306339_26306881	30	29	36	34	35	32
chr1_26431807_26432677	51	53	67	52	42	56
chr1_26469413_26470233	27	41	46	48	36	43
chr1_26471476_26473445	107	94	120	84	81	113
chr1_26500620_26501226	32	27	27	33	23	26
chr1_26619968_26621271	57	45	67	63	50	58
chr1_26692125_26693512	70	63	79	64	59	71
chr1_26695114_26697042	97	121	107	110	87	104
chr1_26698094_26698545	18	17	18	17	16	20
chr1_26723148_26724054	67	62	86	81	70	82
chr1_26787487_26788500	36	43	67	56	46	70
chr1_26826497_26827047	21	17	36	21	17	29
chr1_26864738_26865549	66	54	82	71	63	64
chr1_26889978_26890442	19	14	22	23	22	19
chr1_26921344_26922114	48	46	65	46	47	58
chr1_27057497_27058192	24	21	27	24	22	26
chr1_27154686_27155341	25	27	33	25	28	36
chr1_27233894_27235119	49	76	91	80	58	67
chr1_27300741_27301149	16	13	16	16	21	16
chr1_27321889_27322533	34	44	64	50	43	59
chr1_27365883_27366723	39	25	30	34	32	40
chr1_27392349_27392811	17	23	26	24	15	30
chr1_27489661_27490712	51	52	65	53	55	65
chr1_27536785_27537151	9	13	26	13	14	21
chr1_27603851_27604494	26	31	27	24	17	29
chr1_27671911_27672581	43	42	61	49	50	68
chr1_27725409_27726600	100	108	129	114	103	142
chr1_27772804_27773692	82	68	82	76	72	92
chr1_27830328_27831244	43	43	52	45	37	52
chr1_27914408_27915004	52	58	66	77	58	74
chr1_27971649_27972078	7	14	20	14	15	17
chr1_28088358_28088941	38	34	53	36	44	39
chr1_28163702_28164120	15	26	26	28	24	19
chr1_28235664_28236597	55	63	74	71	64	65
chr1_28246897_28247612	36	43	48	42	41	56
chr1_28259162_28260528	58	58	84	76	54	72
chr1_28328669_28329282	29	27	42	36	28	31
chr1_28369418_28370194	28	38	43	44	37	35
chr1_28505486_28506308	35	44	44	34	33	41
chr1_28517901_28518808	52	49	56	63	48	58
chr1_28552462_28553622	67	60	72	61	52	52
chr1_28581447_28582438	39	46	59	52	44	61
chr1_28642645_28643573	42	52	49	48	56	41
chr1_28648006_28649432	91	103	115	104	100	82
chr1_28668242_28669623	48	51	66	61	49	65
chr1_28736422_28737435	59	66	79	70	58	67
chr1_28835133_28835779	33	29	34	34	27	33
chr1_28914062_28915261	90	78	106	103	97	100
chr1_29133614_29134129	21	28	35	34	25	35
chr1_29181147_29182586	90	97	118	110	79	117
chr1_29230598_29231275	30	36	41	33	38	47
chr1_29236168_29236658	10	17	30	21	19	23
chr1_30717923_30718534	18	34	47	24	28	32
chr1_30718567_30719590	39	39	54	41	54	53
chr1_30815960_30816541	29	20	31	19	18	24
chr1_30823676_30824942	68	73	109	86	84	108
chr1_30855962_30856733	40	39	43	52	45	44
chr1_31065152_31066289	55	69	70	74	64	64
chr1_31227927_31228461	29	32	33	26	36	38
chr1_31296472_31297441	67	73	92	90	82	107
chr1_31483615_31484015	17	21	20	15	18	17
chr1_31627907_31628305	20	18	22	21	20	17
chr1_31644412_31645717	57	73	81	75	72	76
chr1_31669833_31670292	14	22	19	34	12	22
chr1_31694719_31695344	16	20	31	23	22	25
chr1_31733734_31734504	34	28	45	55	36	54
chr1_31752862_31754628	63	88	100	87	79	83
chr1_31760506_31761471	18	47	36	29	18	29
chr1_31762592_31763093	18	20	21	33	12	15
chr1_31764149_31764871	21	36	34	32	32	30
chr1_31781824_31782553	15	19	27	20	22	30
chr1_31782659_31783336	22	22	37	27	14	23
chr1_31788091_31789166	46	49	50	50	47	48
chr1_31796171_31796491	13	14	22	17	16	18
chr1_31811552_31811956	18	20	22	22	18	25
chr1_31842973_31843499	24	19	34	43	29	33
chr1_31937773_31938870	37	39	71	53	53	55
chr1_32013133_32014695	114	128	143	142	106	133
chr1_32040556_32041213	15	12	22	19	25	26
chr1_32062496_32062899	14	14	25	31	19	16
chr1_32072497_32073673	87	73	98	99	74	105
chr1_32107845_32108560	23	34	27	38	29	28
chr1_32179344_32180193	24	32	46	36	39	41
chr1_32200416_32201448	37	19	32	40	43	44
chr1_32222191_32222645	15	18	19	14	23	20
chr1_32291621_32292402	25	45	44	36	34	25
chr1_32335031_32336538	53	51	72	63	60	56
chr1_32351318_32352175	39	48	66	44	47	56
chr1_32394115_32395096	45	59	71	68	64	88
chr1_32464584_32465230	52	32	54	55	38	63
chr1_32500386_32501113	30	24	34	40	25	34
chr1_32650259_32651802	98	115	108	118	111	114
chr1_32753593_32754336	32	30	39	30	37	39
chr1_32816837_32818433	79	96	117	97	79	93
chr1_32964352_32965270	48	50	74	62	69	56
chr1_32972787_32973405	30	26	36	34	30	36
chr1_33036676_33037259	41	39	54	51	49	41
chr1_33080744_33081423	37	30	44	41	34	42
chr1_33127113_33127658	45	43	56	49	48	56
chr1_33160935_33161862	38	38	52	52	50	47
chr1_33180804_33181556	30	18	34	40	33	37
chr1_33181794_33182308	17	19	21	24	22	22
chr1_33255783_33256747	39	28	37	33	36	45
chr1_33342222_33342681	21	17	21	24	29	17
chr1_33349143_33350647	53	51	74	63	59	71
chr1_33363905_33364330	20	27	26	28	28	30
chr1_33392612_33393026	17	10	22	18	17	25
chr1_33430366_33431484	77	85	120	92	75	94
chr1_33470504_33470827	23	14	20	13	15	21
chr1_33472119_33472797	57	67	77	72	75	67
chr1_33655503_33655858	17	12	10	17	10	17
chr1_34166891_34167396	13	11	17	22	19	22
chr1_34859532_34860020	7	25	25	24	20	17
chr1_34929304_34929825	19	12	21	32	13	20
chr1_34984843_34985509	27	23	34	30	27	36
chr1_35031439_35032134	24	26	38	37	40	37
chr1_35191827_35193689	88	94	110	120	99	88
chr1_35201666_35202427	26	24	37	30	32	31
chr1_35268254_35269158	45	37	62	52	35	44
chr1_35556780_35557987	50	64	99	78	72	70
chr1_35560579_35561186	17	17	21	31	16	28
chr1_35641312_35641838	19	16	23	16	14	21
chr1_35769215_35770217	74	68	95	84	77	108
chr1_35882894_35884054	42	56	66	56	48	55
chr1_35930580_35931440	31	32	50	47	35	48
chr1_36083946_36084452	24	23	22	27	18	23
chr1_36088617_36089272	41	32	55	37	44	37
chr1_36149135_36149999	85	68	105	99	78	100
chr1_36150449_36151142	25	27	38	30	33	27
chr1_36155549_36157220	55	51	82	78	65	81
chr1_36223831_36225195	111	96	113	123	105	116
chr1_36306806_36307198	23	29	35	30	27	29
chr1_36385255_36386815	65	79	101	89	88	117
chr1_36397545_36398106	35	29	39	44	31	39
chr1_36450316_36450903	40	34	49	44	35	41
chr1_36464096_36464836	28	25	32	33	29	41
chr1_36653954_36654251	8	10	13	16	14	12
chr1_36913064_36913318	11	13	12	12	12	18
chr1_36961038_36961735	13	16	28	32	21	25
chr1_36968759_36969128	12	20	15	20	19	17
chr1_36977352_36978562	123	139	135	135	118	139
chr1_37033884_37035202	64	59	74	68	54	78
chr1_37037652_37038172	16	18	39	34	23	39
chr1_37038212_37038659	19	20	23	22	22	18
chr1_37133242_37133705	10	18	17	24	19	23
chr1_37234429_37235539	88	95	95	107	78	97
chr1_37391252_37392490	53	63	58	78	57	64
chr1_37474317_37474660	15	10	20	14	19	16
chr1_37514368_37515233	26	41	45	40	38	42
chr1_37554220_37554457	12	11	17	17	6	13
chr1_37595633_37596154	27	20	45	34	32	32
chr1_37690070_37691400	62	61	68	60	49	58
chr1_37691946_37692777	61	53	89	72	69	84
chr1_37764821_37765552	29	33	32	34	22	45
chr1_37793833_37794483	27	28	33	27	21	24
chr1_37807704_37808392	39	33	46	33	34	35
chr1_37808847_37809413	25	40	34	30	27	37
chr1_37859027_37860390	61	71	91	62	73	68
chr1_37931642_37932199	43	42	50	61	34	46
chr1_37946905_37947250	12	16	18	20	17	16
chr1_37989800_37990395	27	33	42	27	26	34
chr1_38012259_38013063	75	70	82	74	69	86
chr1_38029010_38029929	52	47	51	45	46	63
chr1_38046144_38048057	96	95	130	93	97	109
chr1_38084900_38085223	12	9	20	16	16	19
chr1_38114300_38114854	23	34	34	35	28	27
chr1_38138509_38139012	29	32	35	30	17	21
chr1_38498097_38498541	16	23	20	23	14	25
chr1_38614015_38614629	19	28	37	35	25	29
chr1_38624161_38624656	23	31	27	46	32	40
chr1_38727738_38728596	40	46	41	39	32	35
chr1_38859559_38860364	43	55	78	62	59	67
chr1_38872647_38873944	76	66	77	69	61	66
chr1_38929442_38929859	16	14	24	18	25	18
chr1_38990980_38991672	49	36	62	61	44	55
chr1_39025997_39026508	23	18	23	14	10	15
chr1_39026617_39026957	6	13	15	18	16	15
chr1_39081272_39082060	26	26	23	28	16	27
chr1_39098405_39099109	36	19	48	30	32	39
chr1_39104788_39105674	28	31	43	41	28	37
chr1_39214173_39214547	16	17	21	16	14	13
chr1_39408211_39409819	131	110	166	138	128	149
chr1_39691179_39691586	21	15	31	21	22	16
chr1_39845588_39845999	21	20	16	30	24	20
chr1_39883198_39883659	20	28	24	24	19	25
chr1_39886360_39887427	32	44	33	38	33	39
chr1_39901353_39902591	41	43	63	58	46	53
chr1_39954850_39955303	26	20	30	38	26	33
chr1_40039362_40041125	92	98	125	108	99	122
chr1_40097089_40097566	24	12	33	22	20	23
chr1_40161138_40161666	18	17	43	31	26	26
chr1_40257387_40258512	70	80	77	76	54	53
chr1_40373326_40374176	30	28	36	43	40	53
chr1_40449689_40450546	69	55	71	84	60	82
chr1_40531395_40531775	16	24	20	30	24	23
chr1_40691306_40692405	58	61	77	79	53	65
chr1_40708830_40709410	33	33	40	26	22	35
chr1_40798940_40799870	31	29	50	31	39	37
chr1_40862114_40862548	16	12	26	24	21	25
chr1_40979187_40980681	81	78	110	106	111	93
chr1_41003703_41004097	10	17	21	23	12	16
chr1_41102037_41102549	21	20	29	32	16	33
chr1_41241243_41242235	25	27	41	29	29	45
chr1_41360719_41362435	93	87	122	105	93	123
chr1_41365520_41367432	103	126	137	138	104	134
chr1_41385974_41386570	20	31	28	27	25	36
chr1_41394975_41395610	34	38	43	22	31	35
chr1_41398944_41399457	26	28	25	36	24	26
chr1_41403964_41405026	47	55	54	64	47	57
chr1_41454383_41454870	24	17	31	27	29	28
chr1_41474432_41475186	49	59	90	74	61	75
chr1_41608254_41608601	10	15	28	16	20	16
chr1_41661708_41662835	45	46	56	47	36	55
chr1_42035107_42036521	79	81	88	83	71	102
chr1_42049305_42050232	47	46	53	70	42	57
chr1_42177272_42178063	46	36	62	52	47	54
chr1_42334533_42335601	50	64	61	66	38	52
chr1_42380379_42381296	38	45	62	55	47	58
chr1_42419294_42420016	46	54	40	63	32	42
chr1_42420706_42421719	66	84	87	104	68	91
chr1_42422380_42423001	27	25	27	30	29	24
chr1_42462837_42463690	56	58	81	71	55	80
chr1_42657970_42658552	19	31	46	35	33	40
chr1_42681687_42683366	89	103	121	113	87	92
chr1_42766227_42767791	108	107	134	140	112	141
chr1_42816795_42817546	45	33	49	48	34	49
chr1_42846339_42846735	36	29	39	37	43	44
chr1_42924067_42924766	48	33	56	54	30	53
chr1_42957696_42959296	74	64	102	97	84	101
chr1_43147623_43148045	14	17	20	25	14	23
chr1_43172194_43172469	15	21	20	21	16	21
chr1_43358486_43359112	41	34	48	39	38	63
chr1_43367746_43368542	25	31	42	36	22	34
chr1_43382027_43382730	25	25	30	32	23	31
chr1_43389679_43390198	24	18	28	21	23	25
chr1_43453731_43454134	17	15	13	19	20	22
chr1_43584665_43585248	22	27	17	24	24	27
chr1_43649637_43650806	92	94	108	105	90	93
chr1_43691683_43692411	27	23	44	16	24	25
chr1_43707123_43708063	60	61	74	61	51	77
chr1_43946156_43947165	63	61	79	77	75	93
chr1_43969668_43970271	40	31	44	42	46	49
chr1_43974361_43975293	42	50	60	44	42	53
chr1_43991438_43992032	19	13	21	20	15	21
chr1_44029760_44030682	38	46	46	56	28	32
chr1_44213202_44213540	14	13	20	20	16	17
chr1_44354832_44355559	42	48	53	55	52	65
chr1_44417222_44417899	28	17	35	22	20	29
chr1_44673772_44674990	108	96	143	125	95	117
chr1_44739547_44739931	34	29	39	34	30	38
chr1_44775174_44776020	42	39	61	36	23	33
chr1_44799652_44800978	57	88	100	107	78	104
chr1_44842981_44843724	43	37	56	41	48	45
chr1_44884456_44885179	33	30	42	30	31	35
chr1_44986471_44986879	23	25	34	32	21	42
chr1_45010821_45011490	31	23	30	30	24	28
chr1_45011953_45012432	26	27	28	35	24	29
chr1_45205765_45207104	68	67	82	89	64	82
chr1_45303380_45304338	37	47	68	53	50	52
chr1_45339503_45340618	53	57	80	66	70	79
chr1_45490654_45491548	35	49	57	38	56	49
