ctrhp_1	ctrhp_2	ctrhp_3	CLKhp_1	CLKhp_2	CLKhp_3
chr1_6612738_6614570	108	175	175	172	118	131
chr1_6624684_6625726	31	58	46	51	31	38
chr1_6653479_6653931	13	24	17	28	17	12
chr1_6701342_6702169	29	57	49	51	24	37
chr1_6784255_6786465	141	292	253	242	171	188
chr1_6837762_6838244	10	21	12	17	21	12
chr1_6922430_6923007	19	37	29	38	25	32
chr1_6984764_6985443	25	55	39	44	41	36
chr1_7471810_7472345	21	49	16	28	34	19
chr1_7491397_7492007	26	37	36	39	31	25
chr1_7667503_7668082	20	29	32	36	24	23
chr1_7668367_7669751	57	100	83	126	76	87
chr1_7679720_7680837	32	60	53	62	51	47
chr1_7704006_7705136	54	104	71	77	80	52
chr1_7771160_7771800	22	28	22	50	24	21
chr1_7783814_7784626	31	75	69	68	62	53
chr1_7961081_7962027	73	135	115	129	83	81
chr1_8025542_8026899	63	129	108	149	96	66
chr1_8317830_8318452	12	21	21	30	26	13
chr1_8370433_8371190	10	30	29	20	14	21
chr1_8423395_8424499	37	67	49	52	36	39
chr1_8438963_8439454	15	25	22	25	20	15
chr1_8525719_8526286	34	59	50	57	36	43
chr1_8611802_8612558	18	47	34	32	19	18
chr1_8702870_8703956	51	105	72	81	57	54
chr1_8706969_8707391	14	35	28	26	25	20
chr1_8817196_8818296	54	104	96	105	85	71
chr1_8848597_8849195	23	49	43	38	29	17
chr1_8877927_8879454	55	128	91	105	68	72
chr1_8889901_8890324	17	27	24	22	12	13
chr1_8986144_8986540	16	20	17	24	19	10
chr1_9234381_9235477	30	74	57	49	33	36
chr1_9428598_9429369	35	61	63	57	42	47
chr1_9539035_9540190	54	95	91	95	74	71
chr1_9588251_9589657	44	94	89	77	69	57
chr1_9593311_9594261	27	58	37	57	39	40
chr1_9651554_9652533	27	67	56	56	55	27
chr1_9823563_9824476	38	52	30	51	31	35
chr1_9835729_9837221	46	94	67	59	60	47
chr1_9842857_9843275	19	14	20	18	15	12
chr1_9859187_9859756	17	16	17	26	17	19
chr1_9909631_9911063	101	198	164	173	124	131
chr1_9943085_9943584	14	24	23	29	17	21
chr1_10000977_10001447	16	22	17	21	22	14
chr1_10032271_10033581	85	144	127	144	99	108
chr1_10209487_10211659	89	186	172	192	133	125
chr1_10398349_10399812	95	159	143	170	123	123
chr1_10430144_10431199	41	56	52	55	42	39
chr1_10472226_10472745	23	59	43	33	24	28
chr1_10474732_10475093	16	28	27	31	13	32
chr1_10694493_10695293	28	48	44	48	32	30
chr1_10734968_10735783	19	44	30	46	25	25
chr1_10796537_10796872	12	26	21	21	14	13
chr1_10867082_10867594	11	31	26	27	14	15
chr1_10944081_10944663	14	29	19	22	20	19
chr1_10980035_10980789	19	48	33	35	24	33
chr1_11012222_11013222	53	90	72	90	44	53
chr1_11059550_11060548	60	112	91	87	68	72
chr1_11099738_11100027	17	30	14	31	16	18
chr1_11147290_11147636	12	15	11	14	14	16
chr1_11262226_11262959	48	119	99	93	72	81
chr1_11273097_11273716	22	39	36	38	15	36
chr1_11286649_11287038	10	26	18	18	12	18
chr1_11321948_11322440	15	44	26	37	25	20
chr1_11354968_11356207	52	96	76	83	50	39
chr1_11458784_11459332	13	33	28	19	13	21
chr1_11474542_11475363	26	37	42	33	28	27
chr1_11478066_11479640	94	137	149	117	93	75
chr1_11499543_11500430	36	84	60	71	36	52
chr1_11680617_11681641	45	63	58	76	34	43
chr1_11691113_11692255	45	70	54	71	46	46
chr1_11701293_11702139	53	119	94	112	71	73
chr1_11731516_11732302	14	31	30	33	28	13
chr1_11735694_11736225	19	36	32	24	17	27
chr1_11805486_11806607	52	98	63	92	66	60
chr1_11907549_11909363	80	143	125	163	100	118
chr1_11926308_11926770	12	20	30	22	17	19
chr1_11934416_11935017	25	39	29	38	22	17
chr1_11979969_11980888	48	86	62	87	55	62
chr1_12018962_12019882	50	86	79	93	65	68
chr1_12229839_12230494	14	35	26	25	15	23
chr1_12339573_12340233	23	38	32	36	26	28
chr1_12433321_12433882	13	21	17	15	14	17
chr1_12447635_12448530	18	40	26	39	26	34
chr1_12460970_12461440	10	26	18	16	12	15
chr1_12477760_12478907	83	143	125	106	85	78
chr1_12617913_12618687	41	74	64	67	35	49
chr1_12619868_12620157	11	17	17	20	7	16
chr1_13543617_13544230	18	39	44	39	25	34
chr1_13585511_13586383	29	61	43	56	32	34
chr1_13700113_13700705	11	34	25	30	19	20
chr1_13748775_13750219	72	116	111	116	81	73
chr1_14140835_14141165	9	21	14	20	23	14
chr1_14184407_14184913	7	23	22	33	18	18
chr1_14552196_14552590	7	21	18	22	14	16
chr1_14598596_14598939	13	27	21	18	21	16
chr1_14628000_14628564	10	16	22	24	16	16
chr1_14739077_14739407	14	20	21	14	12	13
chr1_14744860_14745919	53	95	93	85	65	66
chr1_14815283_14815898	34	59	44	49	40	26
chr1_14894877_14895567	31	56	41	52	47	39
chr1_15141866_15142241	7	22	24	23	10	23
chr1_15152393_15153040	21	38	24	26	28	20
chr1_15153357_15154252	32	50	33	41	36	31
chr1_15206680_15207503	25	40	24	35	23	31
chr1_15328371_15329076	18	31	22	31	19	21
chr1_15384181_15384906	26	49	46	47	32	40
chr1_15386025_15386739	27	38	29	52	26	24
chr1_15409319_15410236	28	49	46	43	38	42
chr1_15523828_15525479	65	98	71	86	60	70
chr1_15526307_15527161	62	105	82	102	63	82
chr1_15603071_15603874	21	70	41	46	31	39
chr1_15617033_15618022	50	78	66	86	50	37
chr1_15834253_15836480	86	181	149	185	108	137
chr1_15847231_15848897	82	158	143	175	106	107
chr1_15849087_15849616	12	21	29	24	14	17
chr1_15849941_15850298	10	15	13	13	14	14
chr1_15886196_15886906	36	65	40	68	41	43
chr1_15975808_15976304	23	32	31	26	25	25
chr1_16155554_16156292	25	27	30	32	24	14
chr1_16174906_16175310	16	16	16	17	22	18
chr1_16206530_16207276	18	48	35	34	30	33
chr1_16236736_16237405	21	45	41	46	34	32
chr1_16248415_16249316	60	112	85	90	74	72
chr1_16351956_16352873	51	68	64	58	39	40
chr1_16366873_16368018	53	104	89	105	72	76
chr1_16440323_16441012	24	40	26	30	18	22
chr1_16498557_16499744	52	95	77	92	63	55
chr1_16534739_16535501	19	28	20	23	15	18
chr1_16540346_16541100	52	99	80	77	54	75
chr1_16565368_16566450	56	60	50	50	66	31
chr1_16566521_16567412	58	45	50	53	59	48
chr1_16602561_16603213	22	22	21	22	29	10
chr1_16608314_16609534	36	33	34	54	36	21
chr1_16609738_16610985	51	57	46	55	51	31
chr1_16612042_16614978	179	296	280	324	273	227
chr1_16615739_16616387	25	26	17	27	19	12
chr1_16618310_16619467	42	43	37	47	32	27
chr1_16619729_16620469	23	25	26	32	22	20
chr1_16621035_16625238	133	133	130	147	124	103
chr1_16625262_16626545	37	40	41	48	42	31
chr1_16628277_16629360	38	27	32	32	35	25
chr1_16629482_16630589	21	40	33	38	28	11
chr1_16630699_16632669	54	42	54	61	51	42
chr1_16643052_16643934	38	34	39	40	30	26
chr1_16643982_16645631	84	121	107	109	87	80
chr1_16665980_16667539	121	227	188	211	143	168
chr1_16674844_16675536	33	57	38	45	30	21
chr1_16693117_16694266	30	39	45	63	44	30
chr1_16703534_16704064	17	36	24	15	21	13
chr1_16709430_16710204	32	28	35	30	25	20
chr1_16710323_16713079	185	252	237	278	199	183
chr1_16732201_16732804	25	48	40	33	17	17
chr1_16737947_16738379	9	23	14	13	14	18
chr1_16739842_16741605	129	211	180	215	168	167
chr1_16866469_16867664	56	90	76	83	50	71
chr1_16895362_16897501	150	253	219	269	188	205
chr1_16903854_16905791	120	220	182	221	160	165
chr1_16913497_16915602	128	202	189	207	144	131
chr1_16921543_16922133	16	25	18	34	15	15
chr1_16925934_16927279	54	90	79	90	62	71
chr1_16951573_16952017	15	27	26	21	13	8
chr1_16967333_16967624	10	23	11	11	15	11
chr1_17011401_17012378	31	81	63	64	42	32
chr1_17053740_17054569	37	71	57	64	54	48
chr1_17060116_17060560	17	20	19	16	19	17
chr1_17437216_17438735	38	66	61	70	56	32
chr1_17439470_17440258	17	49	35	42	35	21
chr1_17531628_17532419	23	34	32	35	22	20
chr1_17535561_17536042	18	29	20	22	15	18
chr1_17540069_17540652	21	26	30	25	20	12
chr1_17546996_17547617	16	32	27	33	25	25
chr1_17569485_17569977	25	23	19	20	16	19
chr1_17829494_17830219	32	58	43	46	30	42
chr1_17923518_17924116	34	43	35	44	25	35
chr1_18902290_18903331	46	117	74	100	74	74
chr1_18906989_18907553	26	30	37	38	33	31
chr1_18955676_18957401	67	143	89	115	78	90
chr1_19209926_19210809	24	57	58	57	43	53
chr1_19251375_19252058	24	54	52	56	42	37
chr1_19311622_19313006	48	96	84	96	57	51
chr1_19405561_19406428	44	82	81	63	44	45
chr1_19484987_19486280	63	94	97	84	70	62
chr1_19596540_19597534	19	52	37	47	31	26
chr1_19643877_19644832	28	64	48	37	40	32
chr1_19659716_19660110	8	21	19	17	13	13
chr1_19882007_19883068	63	101	90	102	73	66
chr1_20233858_20234341	18	47	25	34	32	39
chr1_20325762_20326575	17	41	37	42	19	32
chr1_20366568_20367211	15	40	28	24	21	20
chr1_20385670_20386045	16	26	29	17	21	17
chr1_20448578_20449261	12	38	22	28	21	15
chr1_20485269_20486078	19	45	40	35	20	22
chr1_20494301_20494753	17	29	27	18	17	18
chr1_20507871_20508405	16	28	25	24	23	16
chr1_20552317_20552616	12	24	17	19	20	17
chr1_20633276_20634053	23	45	41	43	27	29
chr1_20661134_20662008	74	130	110	127	78	85
chr1_20696468_20697356	39	61	46	49	33	34
chr1_20731526_20732696	35	60	51	68	40	46
chr1_20786092_20787841	111	196	130	196	127	119
chr1_21176002_21177395	75	104	96	119	72	82
chr1_21254246_21254853	22	48	56	48	32	39
chr1_21344746_21345946	51	88	89	94	61	56
chr1_21439746_21440349	19	40	36	37	27	20
chr1_21590476_21591247	18	42	30	32	15	28
chr1_21618737_21619410	19	36	25	38	16	24
chr1_21620188_21620973	26	48	37	36	25	29
chr1_21624425_21625317	22	46	34	43	42	23
chr1_21669070_21669672	23	28	20	20	13	18
chr1_21673452_21673917	21	24	26	30	19	15
chr1_21782462_21783869	62	125	86	104	84	69
chr1_21936986_21937831	42	65	57	58	43	49
chr1_22024801_22025809	30	55	46	44	37	27
chr1_22052361_22053549	34	77	59	77	62	53
chr1_22318456_22318989	16	20	16	14	13	13
chr1_22451680_22452627	24	72	51	87	42	48
chr1_22704486_22704775	12	15	15	19	16	12
chr1_22710279_22711788	53	100	82	77	59	62
chr1_22761084_22761552	9	36	22	33	19	21
chr1_22773980_22774548	23	44	37	28	16	11
chr1_22778751_22779458	27	41	44	43	24	33
chr1_22806358_22807203	26	58	46	40	23	25
chr1_22829963_22830420	16	28	27	30	16	12
chr1_22841751_22842394	27	38	41	43	28	32
chr1_22916508_22916996	13	30	26	22	25	18
chr1_22969293_22969636	10	21	16	21	12	15
chr1_23019078_23020137	38	77	71	80	51	49
chr1_23167575_23168184	13	30	16	20	20	18
chr1_23168714_23169087	11	20	19	20	16	13
chr1_23177495_23178260	31	59	54	69	30	30
chr1_23343751_23345038	72	163	121	164	125	116
chr1_23367941_23370025	146	246	193	216	156	158
chr1_23403615_23404242	39	52	31	45	35	37
chr1_23483923_23484850	28	41	26	34	28	30
chr1_23531262_23531741	10	30	29	24	16	23
chr1_23554698_23555391	33	48	39	42	26	32
chr1_23559220_23559774	14	32	31	36	15	18
chr1_23562338_23562677	11	21	14	19	18	17
chr1_23691572_23692354	24	48	40	49	28	29
chr1_23742878_23744119	41	66	61	64	39	35
chr1_23777923_23778798	21	36	27	45	25	26
chr1_23790802_23791329	22	37	27	47	9	20
chr1_23800309_23801375	39	70	61	72	53	44
chr1_23867769_23868621	30	59	54	61	42	42
chr1_23959074_23960218	50	106	95	88	70	65
chr1_23979855_23980625	35	69	55	61	49	49
chr1_24415505_24416068	23	37	34	31	25	30
chr1_24642467_24643816	109	161	147	184	109	145
chr1_24735791_24736291	19	29	22	27	13	22
chr1_24744799_24746060	78	140	104	140	85	98
chr1_24847976_24848440	21	44	30	29	21	21
chr1_25198445_25199247	37	65	60	50	46	52
chr1_25232328_25232900	26	43	38	52	24	36
chr1_25239650_25240269	24	32	31	35	32	16
chr1_25246835_25248215	69	108	76	109	65	75
chr1_25267688_25268120	15	28	20	31	15	16
chr1_25337829_25338835	38	76	66	63	39	36
chr1_25429879_25431574	77	160	132	167	138	112
chr1_25616162_25617644	52	82	75	67	46	50
chr1_25799809_25800470	19	25	25	21	22	17
chr1_25819542_25820418	20	49	50	52	38	39
chr1_25895426_25895826	17	33	25	30	10	17
chr1_25899740_25900108	11	32	16	17	11	11
chr1_25905025_25906823	53	136	117	138	88	79
chr1_25997807_25998709	54	82	75	95	41	45
chr1_26035170_26036357	43	69	51	61	43	42
chr1_26110506_26112495	99	165	159	177	113	109
chr1_26169694_26170020	12	29	11	19	19	12
chr1_26233675_26234814	63	110	85	113	73	54
chr1_26279614_26280436	26	78	37	44	33	35
chr1_26306301_26306876	29	55	38	37	23	41
chr1_26431878_26432771	33	83	66	75	62	60
chr1_26469423_26470314	37	68	57	52	43	35
chr1_26471465_26473409	72	147	98	143	100	85
chr1_26500101_26501081	18	61	34	60	31	33
chr1_26529342_26530264	15	36	43	51	33	34
chr1_26620076_26621244	49	60	67	69	52	37
chr1_26692189_26693540	42	89	81	86	75	74
chr1_26695201_26697514	92	175	126	163	104	122
chr1_26723111_26724087	75	132	121	122	80	89
chr1_26787479_26788561	40	76	72	71	57	53
chr1_26826289_26827115	27	48	41	32	22	33
chr1_26864662_26865627	51	99	86	90	68	73
chr1_26889977_26890666	26	39	34	17	20	20
chr1_26921320_26922131	42	65	64	77	55	45
chr1_26993919_26994317	17	17	17	22	12	12
chr1_27057357_27058232	21	50	49	44	30	34
chr1_27154673_27155342	28	59	45	57	33	43
chr1_27234103_27235178	51	102	89	104	73	63
chr1_27300555_27301237	19	32	25	28	18	23
chr1_27321894_27322619	53	84	69	79	59	62
chr1_27365629_27366846	35	68	41	70	30	36
chr1_27392269_27393082	28	41	37	46	28	20
chr1_27489641_27490658	50	98	62	83	60	58
chr1_27504785_27505465	15	29	13	39	23	20
chr1_27519150_27520025	21	49	24	36	23	21
chr1_27603172_27604522	35	66	59	63	38	46
chr1_27671958_27672604	38	76	61	77	38	66
chr1_27725360_27726623	104	192	146	175	132	118
chr1_27772754_27773871	88	116	104	111	87	88
chr1_27830424_27831327	36	64	61	67	36	46
chr1_27914419_27915226	54	102	82	89	66	66
chr1_28088377_28089010	32	60	52	47	42	42
chr1_28163711_28164218	22	40	30	25	18	26
chr1_28232821_28233172	12	19	21	24	12	14
chr1_28235637_28236552	52	104	84	82	63	64
chr1_28246914_28247796	43	80	56	74	49	47
chr1_28259059_28260642	52	107	96	119	90	75
chr1_28328601_28329236	26	34	34	36	33	29
chr1_28369364_28370586	35	88	53	61	39	47
chr1_28505431_28506260	26	61	46	47	33	44
chr1_28517863_28518897	45	80	62	82	55	51
chr1_28552520_28553732	61	89	71	75	65	70
chr1_28581475_28582497	51	88	86	82	59	52
chr1_28594650_28595157	14	36	30	29	15	12
chr1_28642616_28643645	41	68	50	65	50	32
chr1_28648040_28649654	100	154	141	147	109	98
chr1_28668415_28669661	45	76	57	62	50	47
chr1_28736395_28737446	54	84	89	90	71	60
chr1_28835209_28835784	36	50	45	42	20	26
chr1_28914044_28915062	70	130	109	139	82	76
chr1_28955972_28956549	21	36	29	33	23	28
chr1_29124388_29124977	20	16	16	22	19	23
chr1_29133604_29134142	28	42	40	28	27	24
chr1_29181098_29182578	86	153	109	136	86	97
chr1_29230617_29231161	27	46	35	52	31	32
chr1_29236157_29236834	19	40	23	32	18	16
chr1_29474159_29474531	10	29	20	18	12	12
chr1_30717972_30719714	64	101	93	98	74	80
chr1_30815956_30816540	13	33	19	22	12	18
chr1_30823775_30825001	63	116	95	118	67	61
chr1_30855904_30856802	41	72	66	72	46	46
chr1_31065127_31066321	51	97	72	105	56	60
chr1_31227907_31228478	31	53	43	42	39	26
chr1_31239154_31239745	15	32	27	22	26	18
chr1_31296365_31297651	77	141	118	138	84	112
chr1_31483676_31484204	19	40	32	15	18	19
chr1_31644477_31645485	46	110	94	110	72	73
chr1_31669841_31670472	18	38	21	23	25	21
chr1_31694917_31695277	17	15	14	21	9	17
chr1_31733815_31734573	34	64	56	61	37	41
chr1_31746363_31746889	15	30	22	20	20	17
chr1_31753439_31754635	53	95	82	109	61	66
chr1_31760514_31761302	26	48	36	40	29	24
chr1_31762653_31763163	29	22	17	24	11	19
chr1_31764025_31765304	39	56	62	80	37	32
chr1_31769806_31770447	22	37	28	33	19	28
chr1_31781810_31782419	19	27	15	27	15	14
chr1_31782597_31783415	14	42	34	37	33	26
chr1_31786362_31786959	16	23	18	26	19	20
chr1_31788049_31789203	51	79	62	67	62	49
chr1_31796112_31796527	16	30	18	23	12	20
chr1_31811556_31812001	19	41	28	32	19	30
chr1_31842946_31843531	20	38	45	40	25	36
chr1_31937721_31938725	38	78	61	62	55	49
chr1_32013097_32014714	91	156	141	175	115	115
chr1_32062397_32062885	13	39	13	26	12	24
chr1_32072381_32073702	76	160	124	157	73	94
chr1_32107846_32108374	15	39	27	37	27	22
chr1_32179295_32180624	39	89	56	74	35	56
chr1_32200280_32201157	33	58	56	41	27	29
chr1_32205221_32205760	16	24	36	26	21	22
chr1_32222223_32222592	16	31	26	35	23	19
chr1_32291754_32292370	18	41	36	25	21	15
chr1_32334962_32336692	46	112	80	77	56	71
chr1_32351184_32352320	43	85	62	77	54	57
chr1_32394313_32395100	48	82	74	99	62	63
chr1_32464265_32465550	32	80	72	88	47	51
chr1_32500316_32501173	33	60	56	53	38	28
chr1_32539112_32539925	30	44	29	37	22	23
chr1_32650244_32651846	83	162	133	150	101	100
chr1_32753576_32754590	29	65	51	61	45	46
chr1_32816949_32818539	72	127	125	147	107	90
chr1_32892817_32893141	14	22	16	21	12	12
chr1_32963821_32965250	67	109	102	107	90	73
chr1_32972796_32973507	29	55	48	49	33	26
chr1_33036569_33037228	35	75	54	69	43	45
chr1_33080861_33081244	27	50	47	47	33	36
chr1_33126955_33127767	57	85	66	71	44	48
chr1_33161016_33162161	36	72	63	50	32	37
chr1_33180859_33182338	45	91	74	80	53	50
chr1_33255467_33257132	45	91	52	67	40	44
chr1_33342242_33342740	21	37	27	24	21	15
chr1_33349215_33350593	46	117	72	86	56	51
chr1_33363830_33364850	32	57	54	48	39	34
chr1_33392594_33393129	19	33	23	28	21	24
chr1_33430372_33431527	74	147	103	113	84	92
chr1_33470365_33470769	18	22	15	26	13	13
chr1_33471935_33472793	62	111	92	106	75	77
chr1_33655361_33655957	18	41	32	32	22	18
chr1_33973035_33973607	22	33	21	31	16	24
chr1_34057400_34057942	13	32	18	23	13	13
chr1_34164868_34165359	13	37	19	26	13	18
chr1_34859558_34860002	11	23	24	28	20	16
chr1_34984713_34985632	21	51	36	55	27	36
chr1_35031565_35032169	22	49	34	55	37	36
chr1_35191876_35193715	72	142	109	137	94	96
chr1_35201814_35202408	15	38	28	40	21	20
chr1_35268353_35269205	35	63	48	58	44	32
chr1_35556926_35558084	48	95	78	116	61	78
chr1_35560387_35561307	16	45	38	45	36	20
chr1_35769229_35770240	73	115	95	120	89	90
chr1_35807885_35808557	31	39	41	33	23	18
chr1_35882801_35883959	37	77	69	68	53	50
chr1_35930611_35931531	41	74	71	70	42	50
chr1_36083756_36084594	20	46	28	33	24	35
chr1_36088526_36089492	37	44	48	51	41	39
chr1_36149040_36150192	80	130	106	142	91	99
chr1_36150405_36151122	19	33	28	38	22	24
chr1_36155560_36157558	56	119	99	104	76	67
chr1_36223460_36225110	98	160	122	146	131	112
chr1_36306754_36307199	30	42	35	40	29	25
chr1_36323106_36323721	9	26	19	22	21	19
chr1_36385239_36387210	89	164	128	166	120	104
chr1_36397291_36398115	28	62	46	68	49	39
chr1_36450144_36450945	34	69	52	67	40	42
chr1_36464031_36464855	24	44	40	55	43	38
chr1_36653924_36654234	13	18	16	15	14	8
chr1_36804215_36804562	11	21	20	15	13	15
chr1_36912895_36913343	17	40	27	30	21	24
chr1_36961007_36961732	20	41	39	28	18	16
chr1_36977338_36978544	116	200	176	172	140	131
chr1_37033550_37035184	52	112	105	108	69	79
chr1_37037561_37038500	39	60	53	56	21	29
chr1_37133149_37133781	15	43	26	25	20	27
chr1_37234427_37235555	74	141	105	118	105	93
chr1_37325027_37325464	9	15	18	16	15	22
chr1_37391222_37392432	53	107	87	90	75	60
chr1_37471531_37472241	12	28	24	33	16	14
chr1_37514282_37515150	26	68	56	69	41	42
chr1_37595633_37596388	28	56	42	59	47	38
chr1_37690096_37690917	38	76	40	61	45	49
chr1_37691940_37692900	69	115	93	115	81	85
chr1_37764728_37765653	26	63	51	64	40	37
chr1_37793728_37794658	36	51	56	56	32	37
chr1_37807623_37809381	64	129	92	121	78	90
chr1_37859096_37860411	61	92	70	134	70	54
chr1_37931616_37932256	41	87	60	75	60	50
chr1_37946766_37947220	14	30	19	25	18	12
chr1_37989824_37990367	29	44	49	49	43	34
chr1_38012133_38013111	65	124	88	114	75	80
chr1_38029025_38030055	45	72	66	68	49	51
chr1_38046104_38047821	99	171	138	181	106	117
chr1_38084684_38085232	12	32	28	24	18	27
chr1_38114276_38114670	19	50	33	41	24	26
chr1_38115925_38116277	15	24	22	12	17	14
chr1_38117383_38118049	21	21	16	32	11	21
chr1_38138457_38138908	21	40	34	35	23	23
chr1_38327646_38328138	14	27	23	19	14	19
chr1_38370863_38371495	16	30	21	30	21	13
chr1_38497811_38498611	17	39	19	42	23	28
chr1_38613947_38614612	31	25	25	33	27	22
chr1_38624093_38624654	24	54	38	46	35	25
chr1_38728071_38728595	19	39	34	39	21	21
chr1_38859206_38860482	55	95	94	103	67	58
chr1_38873021_38873934	48	105	74	83	55	57
chr1_38929505_38929880	9	14	22	20	16	18
chr1_38990756_38991675	38	84	71	85	49	60
chr1_39025878_39027021	35	44	56	43	26	26
chr1_39081244_39081956	18	44	36	39	27	26
chr1_39098322_39099157	26	61	53	44	31	40
chr1_39104971_39106046	31	62	46	69	42	41
chr1_39408264_39409744	111	224	169	197	126	133
chr1_39576337_39576600	14	15	10	14	9	17
chr1_39576756_39577146	17	20	16	27	15	12
chr1_39691258_39691883	22	57	37	35	22	29
chr1_39738702_39739216	9	23	15	22	21	14
chr1_39845508_39846009	24	52	43	40	21	20
chr1_39883126_39883695	25	40	31	31	18	30
chr1_39886668_39887357	24	55	49	50	38	43
chr1_39900785_39902683	65	101	82	112	56	62
chr1_39954875_39955687	25	64	39	64	28	27
chr1_40039283_40041125	94	162	159	156	96	91
chr1_40161089_40161717	21	41	49	50	27	29
chr1_40257622_40258598	47	89	61	88	58	43
chr1_40373358_40373984	21	48	40	61	42	36
chr1_40449610_40451012	61	123	94	125	71	88
chr1_40477071_40477773	17	34	35	39	21	18
chr1_40508650_40509014	3	27	19	19	17	13
chr1_40531342_40532036	30	45	33	40	26	19
chr1_40691206_40692936	62	114	100	119	94	78
chr1_40708844_40709434	34	53	40	46	35	25
chr1_40862005_40862828	25	33	34	34	24	21
chr1_40979063_40980698	87	155	125	152	103	108
chr1_41003692_41004096	16	27	25	31	26	19
chr1_41102030_41102538	23	43	24	38	22	29
chr1_41241464_41242516	32	58	39	48	22	21
